"""nodeId""","""SUMTRIANGLE"""
1282,3195
1294,2457
1272,2457
1267,2106
1356,2002
1242,1746
1274,1572
1259,1370
1255,1234
1268,1147
1265,1026
1324,1001
1273,996
1299,996
1280,795
1261,789
1244,782
1304,746
1332,698
1277,564
1253,547
1251,530
1289,451
1323,431
1279,387
1264,385
1254,353
1275,319
1271,313
1256,258
1307,224
1262,207
1326,204
1300,199
1243,193
1328,188
1245,166
1250,154
1293,139
1314,129
1315,123
1296,118
1260,113
1276,111
1269,102
1284,98
1331,96
1308,91
1316,91
1313,88
1252,86
1285,85
1347,85
1401,81
1318,79
1246,75
1351,66
1312,66
1286,65
1397,63
1263,56
1290,56
1320,55
1357,52
1302,50
1376,50
1394,49
1291,48
1287,48
1292,47
1319,46
1334,44
1321,42
1311,42
1257,40
1364,40
1306,39
1295,36
1360,33
1371,30
1297,27
1404,22
1303,20
1340,20
1341,18
1301,18
1310,16
1281,15
1309,14
1288,14
1278,14
1305,14
1329,12
1325,11
1402,10
1248,10
1283,10
1361,9
1330,8
1391,6
1414,5
1389,4
1380,3
1335,3
1369,1
1403,1
1379,1
1393,0
1411,0
1366,0
1420,0
1429,0
1375,0
1384,0
1405,0
1396,0
1378,0
1387,0
1342,0
1333,0
1423,0
1354,0
1363,0
1336,0
1399,0
1327,0
1408,0
1390,0
1345,0
1381,0
1372,0
1348,0
1339,0
1249,0
1258,0
1270,0
1407,0
1416,0
1398,0
1425,0
1410,0
1428,0
1383,0
1392,0
1374,0
1365,0
1338,0
1419,0
1377,0
1368,0
1359,0
1350,0
1395,0
1422,0
1431,0
1413,0
1386,0
1317,0
1362,0
1353,0
1344,0
1266,0
1430,0
1412,0
1421,0
1343,0
1352,0
1406,0
1415,0
1388,0
1424,0
1370,0
1400,0
1382,0
1373,0
1355,0
1346,0
1427,0
1337,0
1418,0
1409,0
1385,0
1322,0
1349,0
1358,0
1367,0
1298,0
1247,0
1426,0
1417,0
