"""node.uID""","""node.departmanName""","""node.ustdepartmanName""","""score"""
1167,"""IT Departmanı ""","""Aristo A.Ş""",1.5919400000000004
1103,"""Tasarım Departmanı""","""Aristo A.Ş""",1.4815675
1179,"""Tasarım Departmanı""","""Aristo A.Ş""",1.4409630000000004
1260,"""IT Departmanı ""","""Aristo A.Ş""",1.4217955
1241,"""Tasarım Departmanı""","""Aristo A.Ş""",1.3563625000000004
1417,"""Tasarım Departmanı""","""Aristo A.Ş""",1.1030200000000003
40,"""IT Departmanı ""","""Aristo A.Ş""",0.9741344999999999
1149,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,0.8658784999999997
1298,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.7590335
1430,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.666715
1171,"""IT Departmanı ""","""Aristo A.Ş""",0.6058720000000002
1223,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.5110375
1238,"""Tasarım Departmanı""","""Aristo A.Ş""",0.510349
1175,"""B2C Departmanı""","""Aristo A.Ş""",0.4942585
1505,"""Tasarım Departmanı""","""Aristo A.Ş""",0.411443
1466,"""IT Departmanı ""","""Aristo A.Ş""",0.41106050000000005
1267,"""IT Departmanı ""","""Aristo A.Ş""",0.4021865000000001
1448,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.37342250000000016
1264,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.37036250000000015
1163,"""satış""","""On-Net A.Ş""",0.3545015
1265,"""satış""","""On-Net A.Ş""",0.345007
1319,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.34441200000000005
1501,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.34303500000000015
1174,"""B2C Departmanı""","""Aristo A.Ş""",0.3313475000000002
1431,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.32375699999999996
1497,"""On-Net A.Ş""","""Biggplus Grup""",0.3163195
1266,"""IT Departmanı ""","""Aristo A.Ş""",0.31345500000000004
1316,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.3058475000000002
1172,"""IT Departmanı ""","""Aristo A.Ş""",0.3010365
1156,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.29546900000000004
1150,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,0.2775
1235,"""Saınalma&Ürün Yönetimi Departmanı""","""Sanal Mağaza A.Ş """,0.2775
1183,"""On-Net A.Ş""","""Biggplus Grup""",0.26981600000000017
1202,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.2547795
1229,"""Biggplus Grup""","""""",0.2537339999999999
1204,"""On-Net A.Ş""","""Biggplus Grup""",0.24440950000000006
1377,"""IT Departmanı ""","""Aristo A.Ş""",0.24414600000000003
1282,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.23416700000000004
1268,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.23283250000000005
1098,"""Biggplus Grup""","""""",0.22289599999999996
1317,"""satış""","""On-Net A.Ş""",0.22208000000000006
1205,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",0.21788100000000002
1273,"""Bigglook&Biggtravel Departmanı""","""On-Net A.Ş""",0.21788100000000002
1296,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.20537750000000002
1188,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.20390700000000003
1467,"""IT Departmanı ""","""Aristo A.Ş""",0.20282750000000005
1218,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.20045600000000002
1499,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.20045600000000002
1186,"""B2C Departmanı""","""Aristo A.Ş""",0.19575550000000003
1275,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",0.19250000000000003
1289,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",0.19250000000000003
1502,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.1821725
1168,"""BTM A.Ş. Merkez ""","""BTM A.Ş""",0.17834750000000002
1270,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.17834750000000002
1475,"""Proje Departmanı""","""Sanal Mağaza A.Ş """,0.17834750000000002
1263,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,0.1783305
1217,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17804999999999999
1247,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.17804999999999999
1164,"""Mali İşler Departmanı""","""Sanal Mağaza A.Ş """,0.1735365
1185,"""Biggplus Grup""","""""",0.1735365
1256,"""Biggplus Grup""","""""",0.17289049999999995
1297,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.1723295
1178,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.16820700000000002
1216,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.16820700000000002
1221,"""Çağrı Merkezi Departmanı""","""Sanal Mağaza A.Ş """,0.16820700000000002
1243,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.16820700000000002
1252,"""Lojistik Departmanı""","""Sanal Mağaza A.Ş """,0.16820700000000002
1180,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.167969
1187,"""Sanal Mağaza A.Ş ""","""Biggplus Grup""",0.167969
